time_s,pressure_Pa,altitude_m_raw,altitude_m_5ptMA,velocity_mps_raw,velocity_mps_5ptMA
0.0,101327.401,0.0,0.0,0.0,-0.013324120095655841
0.25,101327.401,0.0,0.0,0.0,-0.029979270215225645
0.5,101327.401,0.0,0.0,0.0,-0.039972360286967525
0.75,101327.401,0.0,-0.019986180143483762,0.0,-0.06395566372338209
1.0,101327.401,0.0,-0.039972360286967525,-0.19986180143483762,-0.09593332648142419
1.25,101328.6015,-0.09993090071741881,-0.059958540430451276,-0.19986180143483762,-0.10392768580305174
1.5,101328.6015,-0.09993090071741881,-0.09993061887800392,0.0,-0.10392734759929752
1.75,101328.6015,-0.09993090071741881,-0.13990269732555655,-0.19985898304068878,-0.11991561530657606
2.0,101329.802,-0.1998603922377632,-0.13990269732555655,-0.19985898304068878,-0.11192091778119426
2.25,101329.802,-0.1998603922377632,-0.17987421210313853,0.19985898304068878,-0.07194889570152461
2.5,101328.6015,-0.09993090071741881,-0.21984572688072043,-0.19985616473513057,-0.06395431091190878
2.75,101331.0025,-0.2997884746053285,-0.21984572688072043,-0.39971514777581935,-0.055960064322503535
3.0,101331.0025,-0.2997884746053285,-0.19985982857665158,0.19985616473513057,1.1102230246251566e-17
3.25,101329.802,-0.1998603922377632,-0.23983134335423348,0.39971514777581935,0.031977211822065546
3.5,101328.6015,-0.09993090071741881,-0.21984572688072043,-0.19985616473513057,0.00799424658940523
3.75,101331.0025,-0.2997884746053285,-0.1798742121031385,-0.19985898304068878,-1.1273222232377478e-07
4.0,101329.802,-0.1998603922377632,-0.1798742121031385,0.39971514777581935,0.0
4.25,101328.6015,-0.09993090071741881,-0.21984572688072043,0.0,-0.04796570500087599
4.5,101329.802,-0.1998603922377632,-0.21984572688072043,-0.39971514777581935,-0.08793716341234677
4.75,101331.0025,-0.2997884746053285,-0.23983134335423348,-0.19985616473513057,-0.07994280409071922
5.0,101331.0025,-0.2997884746053285,-0.27980285813181544,0.0,0.16259311771762033
5.25,101331.0025,-0.2997884746053285,-0.2997884746053285,0.0,0.8503198755073573
5.5,101331.0025,-0.2997884746053285,-0.2997884746053285,0.0,2.007401628169816
5.75,101331.0025,-0.2997884746053285,0.2665798151379385,0.0,7.358925293971768
6.0,101331.0025,-0.2997884746053285,1.3995428033955006,5.663682897432669,24.166989537331734
6.25,101296.98833333334,2.5320529741110063,3.0993270655429903,11.329629882575622,49.73646369345101
6.5,101262.97416666667,5.365026466682482,14.718394836649287,11.334159724042228,83.27249504680182
6.75,101228.96,8.19913283613212,45.09950205746939,104.86104782848734,128.4076552095466
7.0,100635.913,57.79555038092615,79.20844851669074,286.8132295867261,174.7826246897451
7.25,99525.4505,151.60574762949517,130.63891171884723,230.5624697785832,205.03562147059102
7.5,99273.3455,173.07678527021775,194.87909617395775,221.8231896959395,220.92166624492066
7.75,98231.3115,262.5173424774649,259.8951874525972,312.64653968293413,221.67149875998257
8.0,97460.5905,329.4000551116848,312.51176311799907,240.71732859331712,198.88308881388124
8.25,96849.536,382.8760067741235,364.10035306846265,170.577141689639,160.64909227302263
8.5,96488.1855,414.6886259565043,399.9257540670318,96.28745649682435,116.36620335608177
8.75,96303.3085,431.01973502253566,422.7999758604763,53.91144302761268,71.31231955631208
9.0,96183.2585,441.64434747031066,433.59703844863526,25.502858112743525,30.294719054517053
9.25,96159.2485,443.7711640789074,429.72542051216544,-9.566055510784622,-3.3475755185406113
9.5,96237.281,436.86131971491835,425.1674945650765,-96.88125560950459,-31.6563367821248
9.75,96707.877,395.3305362741551,414.5954102067106,-57.26242885565455,-50.61369524177851
10.0,96561.416,408.2301052870911,399.761380924446,-13.093221191347993,-64.55123564801674
10.25,96782.308,388.7839256784811,377.4947914293536,-77.25817523901333,-78.71231867630834
10.5,97000.799,369.6010176675844,359.29342942700083,-126.51110687804965,-89.16424373988605
10.75,97505.009,325.5283722394563,334.22139653019923,-130.55458281038625,-93.54043152188846
11.0,97748.7105,304.3237262623913,308.760711550817,-85.3168628727467,-94.89181164969196
11.25,97996.0135,282.86994080308295,282.68547023062445,-85.68645096164266,-95.29831917943025
11.5,98243.3165,261.48050078156996,260.71962331845396,-87.29025947292229,-94.68977428446213
11.75,98501.424,239.2248110666218,238.83906841367056,-91.56272620593273,-97.11499835537327
12.0,98775.138,215.6991376786036,216.42995959495389,-88.60771865629454,-102.59092683789841
12.25,99017.639,194.92095173847454,189.827712774907,-89.74948193820802,-109.52377353847665
12.5,99299.7565,170.82439670949958,158.83097311810127,-132.90337011427812,-115.85799105720477
12.75,99797.964,128.46926668133548,128.09680333623112,-173.16656785381295,-114.17555938175823
13.0,100321.382,84.2411127825931,97.65245454970176,-132.88195582416515,-101.37158983529812
13.25,100585.492,62.02828876925291,67.97159581591076,-83.08380995353087,-85.05094197530471
13.5,100815.988,42.69920780582767,52.84717809955457,-79.21637145741659,-75.72441818493114
13.75,101058.489,22.420103040544614,42.38253320520839,-81.11641906113222,-60.882419233027946
